Month,Date,Hours
1,1,8:45-13:30
1,2,3:30-11:45
1,3,7:45-13:30
1,3,14:00-16:45
1,4,7:45-13:00
1,5,6:30-9:00
1,5,20:30-24:00
1,6,0:00-4:00
1,6,10:00-13:00
1,7,8:30-13:00
1,8,5:45-10:00
1,8,11:45-14:45
1,9,5:00-13:45
1,10,14:00-15:00
1,10,22:30-24:00
1,11,0:00-2:45
1,11,5:30-15:00
1,12,8:15-15:15
1,13,9:00-16:00
1,14,5:00-9:00
1,15,7:00-15:00
1,15,16:00-18:30
1,16,23:00-24:00
1,17,0:00-3:00
1,17,8:00-10:45
1,18,3:00-9:00
1,19,2:15-5:00
1,19,7:30-9:15
1,19,10:00-13:45
1,20,7:15-15:15
1,21,6:45-15:30
1,22,5:15-9:00
1,23,6:00-11:15
1,24,8:00-14:30
1,24,15:30-17:00
1,25,13:30-17:45
1,26,0:15-2:00
1,26,6:15-14:00
1,26,15:00-17:00
1,27,19:45-22:45
1,28,4:00-10:30
1,28,13:00-18:00
1,29,14:45-18:00
1,30,2:30-6:15
1,30,9:00-12:00
1,30,19:45-24:00
1,31,0:00-1:00
1,31,18:45-22:45
2,1,4:30-8:00
2,1,13:00-18:00
2,2,16:45-19:00
2,3,3:30-5:30
2,3,9:45-13:15
2,3,18:00-19:30
2,4,6:00-9:00
2,5,3:00-8:45
2,5,22:45-24:00
2,6,0:00-4:15
2,6,21:00-24:00
2,7,0:00-3:00
2,7,21:30-24:00
2,8,0:00-3:45
2,8,7:00-8:45
2,8,23:30-24:00
2,9,0:00-4:00
2,9,4:30-6:30
2,9,7:45-9:30
2,10,0:15-6:15
2,11,0:45-7:00
2,11,7:30-10:00
2,12,3:45-8:00
2,13,1:00-8:00
2,13,17:00-19:00
2,14,5:00-11:00
2,15,2:00-8:00
2,15,9:00-11:00
2,15,18:00-19:00
2,16,5:30-9:30
2,17,2:15-11:00
2,17,16:15-18:30
2,18,2:30-8:00
2,19,4:30-11:00
2,20,4:00-9:00
2,20,9:30-11:45
2,21,4:15-10:00
2,22,6:15-10:30
2,22,15:15-16:15
2,23,6:15-10:30
2,24,2:45-11:00
2,24,11:30-13:00
2,25,5:00-8:45
2,25,21:00-24:00
2,26,0:00-5:30
2,26,9:00-10:00
2,26,21:15-23:00
2,27,3:30-9:00
2,27,10:00-12:00
2,28,5:30-10:30
2,28,19:15-20:30
3,1,4:30-12:45
3,2,4:15-12:15
3,3,3:30-8:45
3,3,9:15-12:30
3,4,6:00-14:00
3,5,5:30-10:45
3,6,2:15-8:45
3,6,16:15-17:30
3,7,3:00-9:00
3,7,17:00-19:45
3,8,7:45-11:45
3,8,16:00-19:00
3,9,4:15-10:00
3,9,12:30-13:30
3,10,5:15-12:00
3,11,4:00-9:15
3,12,2:00-5:45
3,12,15:00-16:30
3,13,3:15-11:45
3,14,4:45-8:45
3,14,11:30-13:30
3,15,5:45-12:00
3,15,13:00-13:30
3,16,6:45-12:00
3,17,8:45-9:30
3,17,17:30-22:00
3,18,5:30-10:30
3,18,11:00-14:00
3,19,8:45-10:00
3,19,19:00-20:00
3,19,20:30-24:00
3,20,0:00-0:30
3,20,3:00-9:30
3,20,11:30-15:00
3,21,9:00-10:00
3,21,21:30-22:00
3,21,23:00-24:00
3,22,0:00-3:00
3,22,5:45-9:30
3,22,11:00-13:30
3,23,6:15-12:45
3,24,7:00-13:15
3,25,7:00-13:15
3,25,18:15-23:00
3,26,10:00-13:30
3,27,4:15-14:45
3,28,10:00-10:45
3,28,18:00-20:00
3,29,5:00-13:00
3,30,8:00-14:00
3,30,19:15-21:45
3,31,6:30-13:00
4,1,8:15-13:30
4,1,14:00-15:30
4,2,10:00-11:00
4,2,14:45-19:00
4,3,7:00-11:30
4,3,20:30-24:00
4,4,0:00-0:30
4,4,6:30-13:00
4,4,17:00-18:30
4,5,8:30-13:30
4,6,7:15-13:30
4,6,14:00-16:00
4,7,15:15-20:00
4,8,3:45-16:00
4,9,10:00-11:30
4,9,19:00-20:00
4,9,21:30-24:00
4,10,0:00-2:15
4,10,7:00-13:00
4,10,16:00-18:00
4,11,8:30-14:30
4,12,3:15-9:00
4,12,22:45-24:00
4,13,0:00-1:30
4,13,7:45-13:45
4,14,14:45-17:30
4,15,4:00-11:45
4,15,12:30-16:00
4,16,6:00-11:00
4,16,22:30-24:00
4,17,0:00-1:00
4,17,10:30-15:00
4,18,8:00-12:00
4,18,18:00-20:15
4,19,6:00-15:00
4,20,8:00-14:00
4,21,5:00-10:00
4,21,11:30-13:45
4,22,6:30-13:45
4,23,7:00-13:45
4,24,6:30-11:45
4,25,6:30-15:00
4,25,18:15-20:00
4,26,5:15-11:15
4,26,18:00-21:00
4,27,4:15-12:30
4,28,4:30-12:00
4,29,7:00-11:45
4,30,6:00-11:45
5,1,7:45-14:00
5,2,8:00-13:30
5,3,4:45-10:00
5,3,11:00-14:00
5,4,6:00-13:30
5,5,9:00-12:30
5,5,17:45-22:45
5,6,3:45-9:30
5,6,12:30-15:00
5,7,4:30-10:00
5,7,14:45-17:30
5,8,8:15-13:00
5,9,3:15-13:00
5,10,6:45-14:00
5,11,7:00-14:00
5,12,4:00-12:00
5,13,6:00-11:00
5,14,7:30-13:00
5,14,16:00-17:45
5,15,6:00-16:00
5,16,10:00-13:00
5,16,19:00-23:15
5,17,5:15-9:15
5,17,10:00-12:45
5,18,6:30-14:00
5,19,5:00-13:15
5,20,10:15-14:30
5,20,23:30-24:00
5,21,0:00-0:15
5,21,6:15-12:45
5,21,14:30-16:45
5,22,8:30-14:00
